nombre;fecha;puesto;pais;duracion;tiros1;tiros2;tiros3;puntos1;puntos2;puntos3
Skylar Diggins;24/08/2001;PIVOT;NUEVA ZELANDA;28;0;8;2;0;6;0
Skylar Diggins;29/08/2001;PIVOT;NUEVA ZELANDA;32;7;13;1;6;14;0
Skylar Diggins;02/09/2001;PIVOT;NUEVA ZELANDA;38;3;19;3;2;18;3
Skylar Diggins;05/09/2001;PIVOT;NUEVA ZELANDA;33;3;16;3;3;18;3
Skylar Diggins;07/09/2001;PIVOT;NUEVA ZELANDA;37;11;15;3;10;14;6
Skylar Diggins;11/09/2001;PIVOT;NUEVA ZELANDA;29;6;15;1;4;12;0
Skylar Diggins;12/09/2001;PIVOT;NUEVA ZELANDA;31;3;15;6;3;8;3
Skylar Diggins;14/09/2001;PIVOT;NUEVA ZELANDA;37;13;20;3;10;22;3
Skylar Diggins;17/09/2001;PIVOT;NUEVA ZELANDA;43;13;21;5;11;18;9
Skylar Diggins;20/09/2001;PIVOT;NUEVA ZELANDA;41;11;18;3;10;18;3
Skylar Diggins;21/09/2001;PIVOT;NUEVA ZELANDA;33;13;17;6;12;4;0
Skylar Diggins;02/12/2001;PIVOT;NUEVA ZELANDA;35;8;18;5;7;14;6
Skylar Diggins;04/12/2001;PIVOT;NUEVA ZELANDA;34;6;17;2;5;14;3
Skylar Diggins;06/12/2001;PIVOT;NUEVA ZELANDA;36;8;19;4;7;20;9
Skylar Diggins;09/12/2001;PIVOT;NUEVA ZELANDA;38;12;13;4;12;10;3
Skylar Diggins;11/12/2001;PIVOT;NUEVA ZELANDA;39;6;17;5;6;14;3
Skylar Diggins;13/12/2001;PIVOT;NUEVA ZELANDA;34;3;20;2;2;14;0
Skylar Diggins;17/12/2001;PIVOT;NUEVA ZELANDA;38;7;18;4;7;12;0
Skylar Diggins;18/12/2001;PIVOT;NUEVA ZELANDA;37;7;14;1;7;12;0
Skylar Diggins;23/12/2001;PIVOT;NUEVA ZELANDA;36;7;23;4;5;28;3
Skylar Diggins;26/12/2001;PIVOT;NUEVA ZELANDA;35;2;19;2;1;18;0
Skylar Diggins;28/12/2001;PIVOT;NUEVA ZELANDA;35;11;12;2;10;8;0
Skylar Diggins;30/12/2001;PIVOT;NUEVA ZELANDA;37;2;12;4;2;8;3
Skylar Diggins;01/01/2002;PIVOT;NUEVA ZELANDA;38;7;16;1;6;8;0
Skylar Diggins;13/03/2002;PIVOT;NUEVA ZELANDA;35;5;15;4;4;10;3
Skylar Diggins;16/03/2002;PIVOT;NUEVA ZELANDA;33;8;14;3;6;12;0
Skylar Diggins;19/03/2002;PIVOT;NUEVA ZELANDA;37;4;13;3;2;10;6
Skylar Diggins;21/03/2002;PIVOT;NUEVA ZELANDA;37;1;19;3;1;20;6
Skylar Diggins;26/03/2002;PIVOT;NUEVA ZELANDA;37;10;17;7;8;14;6
Skylar Diggins;27/03/2002;PIVOT;NUEVA ZELANDA;32;4;12;3;3;8;0
Candace Parker;31/05/2001;ALA;CANADA;32;2;13;0;2;16;0
Candace Parker;02/06/2001;ALA;CANADA;37;9;20;1;7;16;0
Candace Parker;09/06/2001;ALA;CANADA;31;6;15;1;6;16;3
Candace Parker;24/08/2001;ALA;CANADA;48;12;28;4;11;20;3
Candace Parker;26/08/2001;ALA;CANADA;34;2;16;2;1;14;0
Candace Parker;29/08/2001;ALA;CANADA;22;2;12;2;1;16;0
Candace Parker;31/08/2001;ALA;CANADA;35;4;21;3;4;18;6
Candace Parker;05/09/2001;ALA;CANADA;31;10;14;0;8;10;0
Candace Parker;06/09/2001;ALA;CANADA;26;3;11;0;2;14;0
Candace Parker;09/09/2001;ALA;CANADA;26;4;11;1;2;14;0
Candace Parker;11/09/2001;ALA;CANADA;33;11;16;3;9;14;3
Candace Parker;14/09/2001;ALA;CANADA;38;2;14;5;2;14;3
Candace Parker;16/09/2001;ALA;CANADA;35;3;14;2;3;16;3
Candace Parker;20/09/2001;ALA;CANADA;40;6;16;1;5;10;0
Candace Parker;02/12/2001;ALA;CANADA;30;5;15;1;4;18;0
Candace Parker;04/12/2001;ALA;CANADA;34;2;14;1;1;16;0
Candace Parker;07/12/2001;ALA;CANADA;33;4;20;3;3;22;6
Candace Parker;09/12/2001;ALA;CANADA;30;4;18;7;3;10;9
Candace Parker;12/12/2001;ALA;CANADA;29;0;13;0;0;14;0
Candace Parker;14/12/2001;ALA;CANADA;27;8;6;2;8;6;3
Candace Parker;16/12/2001;ALA;CANADA;34;8;20;4;7;24;9
Candace Parker;18/12/2001;ALA;CANADA;33;8;16;1;8;10;0
Candace Parker;25/12/2001;ALA;CANADA;37;6;17;2;4;10;0
Candace Parker;27/12/2001;ALA;CANADA;38;6;17;3;4;14;3
Candace Parker;14/03/2002;ALA;CANADA;35;1;8;0;1;8;0
Candace Parker;16/03/2002;ALA;CANADA;36;14;17;3;13;14;3
Candace Parker;19/03/2002;ALA;CANADA;38;7;16;2;6;20;0
Candace Parker;21/03/2002;ALA;CANADA;26;0;12;2;0;6;0
Candace Parker;23/03/2002;ALA;CANADA;33;2;19;4;2;14;0
Candace Parker;26/03/2002;ALA;CANADA;33;5;12;2;5;18;3
Angel McCoughtry;31/05/2001;ALA;USA;34;7;14;3;5;16;0
Angel McCoughtry;01/06/2001;ALA;USA;39;8;15;3;7;18;6
Angel McCoughtry;09/06/2001;ALA;USA;37;5;15;7;3;14;6
Angel McCoughtry;14/06/2001;ALA;USA;35;1;20;5;1;16;3
Angel McCoughtry;24/08/2001;ALA;USA;22;2;14;4;2;4;3
Angel McCoughtry;26/08/2001;ALA;USA;28;4;11;2;4;10;0
Angel McCoughtry;30/08/2001;ALA;USA;25;6;10;3;5;12;9
Angel McCoughtry;05/09/2001;ALA;USA;36;7;20;4;6;14;9
Angel McCoughtry;07/09/2001;ALA;USA;34;8;15;4;8;8;0
Angel McCoughtry;10/09/2001;ALA;USA;37;7;22;2;7;20;0
Angel McCoughtry;12/09/2001;ALA;USA;25;2;19;2;2;16;0
Angel McCoughtry;14/09/2001;ALA;USA;24;11;25;5;10;20;9
Angel McCoughtry;18/09/2001;ALA;USA;29;4;16;3;3;14;3
Angel McCoughtry;21/09/2001;ALA;USA;35;5;18;3;3;16;3
Angel McCoughtry;02/12/2001;ALA;USA;34;6;18;3;5;12;0
Angel McCoughtry;06/12/2001;ALA;USA;25;5;14;4;5;10;3
Angel McCoughtry;09/12/2001;ALA;USA;29;8;14;0;6;16;0
Angel McCoughtry;13/12/2001;ALA;USA;33;4;13;2;3;8;0
Angel McCoughtry;14/12/2001;ALA;USA;42;10;28;4;6;26;3
Angel McCoughtry;17/12/2001;ALA;USA;34;8;14;5;7;12;3
Angel McCoughtry;23/12/2001;ALA;USA;43;4;24;9;2;18;3
Angel McCoughtry;26/12/2001;ALA;USA;35;2;17;2;2;10;0
Angel McCoughtry;28/12/2001;ALA;USA;30;2;17;3;2;10;0
Angel McCoughtry;30/12/2001;ALA;USA;31;5;16;1;4;20;3
Angel McCoughtry;01/01/2002;ALA;USA;32;5;13;2;4;16;3
Angel McCoughtry;14/03/2002;ALA;USA;33;10;16;6;8;16;12
Angel McCoughtry;16/03/2002;ALA;USA;26;4;16;5;3;14;6
Angel McCoughtry;18/03/2002;ALA;USA;21;4;5;1;2;0;0
Angel McCoughtry;19/03/2002;ALA;USA;34;2;20;5;2;10;0
Angel McCoughtry;26/03/2002;ALA;USA;16;4;6;1;3;8;3
Angel McCoughtry;28/03/2002;ALA;USA;22;2;6;2;1;8;3
Tina Charles;31/05/2001;BASE;SUDAFRICA;24;3;9;0;3;6;0
Tina Charles;01/06/2001;BASE;SUDAFRICA;34;2;16;0;1;14;0
Tina Charles;08/06/2001;BASE;SUDAFRICA;33;6;18;0;6;18;0
Tina Charles;11/06/2001;BASE;SUDAFRICA;35;4;19;0;3;12;0
Tina Charles;14/06/2001;BASE;SUDAFRICA;31;0;11;0;0;8;0
Tina Charles;15/06/2001;BASE;SUDAFRICA;30;4;12;0;4;18;0
Tina Charles;28/08/2001;BASE;SUDAFRICA;29;4;10;0;3;8;0
Tina Charles;31/08/2001;BASE;SUDAFRICA;24;7;11;0;4;10;0
Tina Charles;02/09/2001;BASE;SUDAFRICA;35;6;19;0;3;22;0
Tina Charles;05/09/2001;BASE;SUDAFRICA;37;11;18;0;7;18;0
Tina Charles;07/09/2001;BASE;SUDAFRICA;32;6;13;0;5;10;0
Tina Charles;10/09/2001;BASE;SUDAFRICA;38;6;17;0;5;20;0
Tina Charles;12/09/2001;BASE;SUDAFRICA;32;2;12;0;0;6;0
Tina Charles;14/09/2001;BASE;SUDAFRICA;27;2;13;0;2;10;0
Tina Charles;19/09/2001;BASE;SUDAFRICA;34;6;12;0;6;10;0
Tina Charles;21/09/2001;BASE;SUDAFRICA;34;5;14;0;4;10;0
Tina Charles;02/12/2001;BASE;SUDAFRICA;36;3;20;0;2;26;0
Tina Charles;07/12/2001;BASE;SUDAFRICA;37;4;20;0;4;28;0
Tina Charles;10/12/2001;BASE;SUDAFRICA;25;0;9;0;0;6;0
Tina Charles;12/12/2001;BASE;SUDAFRICA;35;0;17;0;0;20;0
Tina Charles;17/12/2001;BASE;SUDAFRICA;36;5;21;0;4;14;0
Tina Charles;24/12/2001;BASE;SUDAFRICA;38;7;22;0;7;24;0
Tina Charles;25/12/2001;BASE;SUDAFRICA;38;2;17;0;2;16;0
Tina Charles;27/12/2001;BASE;SUDAFRICA;34;5;21;0;4;16;0
Tina Charles;30/12/2001;BASE;SUDAFRICA;39;4;25;0;3;20;0
Tina Charles;01/01/2002;BASE;SUDAFRICA;35;10;13;0;7;8;0
Tina Charles;14/03/2002;BASE;SUDAFRICA;37;14;19;0;9;20;0
Tina Charles;16/03/2002;BASE;SUDAFRICA;27;2;9;0;2;8;0
Tina Charles;19/03/2002;BASE;SUDAFRICA;37;7;14;0;3;12;0
Tina Charles;21/03/2002;BASE;SUDAFRICA;36;6;15;0;5;12;0
Tina Charles;23/03/2002;BASE;SUDAFRICA;38;4;22;0;4;22;0
Tina Charles;25/03/2002;BASE;SUDAFRICA;36;8;12;0;5;10;0
Tina Charles;27/03/2002;BASE;SUDAFRICA;26;2;8;0;1;6;0
Tina Charles;28/03/2002;BASE;SUDAFRICA;9;0;3;0;0;4;0
Diana Taurasi;01/06/2001;PIVOT;MALTAIA;26;0;7;3;0;8;3
Diana Taurasi;02/06/2001;PIVOT;MALTAIA;36;6;16;9;6;14;9
Diana Taurasi;07/06/2001;PIVOT;MALTAIA;37;5;14;4;4;16;3
Diana Taurasi;14/06/2001;PIVOT;MALTAIA;22;8;7;3;8;6;6
Diana Taurasi;26/08/2001;PIVOT;MALTAIA;33;6;13;7;6;12;6
Diana Taurasi;29/08/2001;PIVOT;MALTAIA;29;12;12;2;12;10;0
Diana Taurasi;30/08/2001;PIVOT;MALTAIA;41;2;17;10;1;14;12
Diana Taurasi;02/09/2001;PIVOT;MALTAIA;31;0;10;4;0;12;3
Diana Taurasi;04/09/2001;PIVOT;MALTAIA;34;12;10;4;11;8;0
Diana Taurasi;07/09/2001;PIVOT;MALTAIA;36;8;10;4;7;12;6
Diana Taurasi;10/09/2001;PIVOT;MALTAIA;31;1;14;10;1;16;15
Diana Taurasi;12/09/2001;PIVOT;MALTAIA;31;4;11;3;4;8;6
Diana Taurasi;19/09/2001;PIVOT;MALTAIA;33;11;12;5;11;10;6
Diana Taurasi;21/09/2001;PIVOT;MALTAIA;33;3;10;4;3;10;3
Diana Taurasi;03/12/2001;PIVOT;MALTAIA;26;6;9;5;5;8;6
Diana Taurasi;07/12/2001;PIVOT;MALTAIA;38;5;20;10;3;22;21
Diana Taurasi;10/12/2001;PIVOT;MALTAIA;22;3;7;2;3;8;0
Diana Taurasi;12/12/2001;PIVOT;MALTAIA;30;8;13;6;7;8;12
Diana Taurasi;14/12/2001;PIVOT;MALTAIA;23;0;8;2;0;8;3
Diana Taurasi;16/12/2001;PIVOT;MALTAIA;33;4;10;5;2;12;12
Diana Taurasi;18/12/2001;PIVOT;MALTAIA;31;4;11;7;4;8;6
Diana Taurasi;23/12/2001;PIVOT;MALTAIA;29;4;10;5;2;16;12
Diana Taurasi;25/12/2001;PIVOT;MALTAIA;32;8;17;10;6;10;6
Diana Taurasi;27/12/2001;PIVOT;MALTAIA;30;2;12;5;1;12;6
Diana Taurasi;30/12/2001;PIVOT;MALTAIA;26;4;11;4;4;12;3
Diana Taurasi;01/01/2002;PIVOT;MALTAIA;36;0;21;7;0;10;0
Diana Taurasi;13/03/2002;PIVOT;MALTAIA;32;4;9;7;4;8;9
Diana Taurasi;16/03/2002;PIVOT;MALTAIA;28;3;11;4;2;12;0
Diana Taurasi;18/03/2002;PIVOT;MALTAIA;39;5;5;4;5;2;0
Diana Taurasi;20/03/2002;PIVOT;MALTAIA;33;5;21;5;5;18;3
Diana Taurasi;23/03/2002;PIVOT;MALTAIA;27;2;11;6;1;10;9
Diana Taurasi;27/03/2002;PIVOT;MALTAIA;20;2;5;1;2;2;0
Diana Taurasi;28/03/2002;PIVOT;MALTAIA;28;4;3;3;2;0;0
Seimone Augustus;31/05/2001;PIVOT;AUSTRALIA;35;2;20;2;2;22;0
Seimone Augustus;02/06/2001;PIVOT;AUSTRALIA;42;0;14;0;0;18;0
Seimone Augustus;07/06/2001;PIVOT;AUSTRALIA;34;0;21;1;0;22;3
Seimone Augustus;08/06/2001;PIVOT;AUSTRALIA;27;2;16;0;2;16;0
Seimone Augustus;10/06/2001;PIVOT;AUSTRALIA;35;3;16;3;3;14;0
Seimone Augustus;14/06/2001;PIVOT;AUSTRALIA;33;0;11;1;0;14;0
Seimone Augustus;24/08/2001;PIVOT;AUSTRALIA;33;1;19;3;1;24;0
Seimone Augustus;29/08/2001;PIVOT;AUSTRALIA;34;2;12;2;2;10;0
Seimone Augustus;31/08/2001;PIVOT;AUSTRALIA;35;9;16;4;6;18;6
Seimone Augustus;05/09/2001;PIVOT;AUSTRALIA;34;4;14;3;4;12;3
Seimone Augustus;07/09/2001;PIVOT;AUSTRALIA;23;0;11;0;0;10;0
Seimone Augustus;09/09/2001;PIVOT;AUSTRALIA;23;2;10;2;1;12;3
Seimone Augustus;12/09/2001;PIVOT;AUSTRALIA;26;0;14;1;0;18;3
Seimone Augustus;14/09/2001;PIVOT;AUSTRALIA;31;3;11;2;3;12;3
Seimone Augustus;19/09/2001;PIVOT;AUSTRALIA;35;0;10;2;0;4;3
Seimone Augustus;26/12/2001;PIVOT;AUSTRALIA;34;2;13;1;1;16;0
Seimone Augustus;28/12/2001;PIVOT;AUSTRALIA;26;2;11;1;2;10;3
Seimone Augustus;01/01/2002;PIVOT;AUSTRALIA;32;4;22;2;3;16;0
Seimone Augustus;13/03/2002;PIVOT;AUSTRALIA;31;2;16;2;2;18;6
Seimone Augustus;16/03/2002;PIVOT;AUSTRALIA;30;0;12;0;0;18;0
Seimone Augustus;18/03/2002;PIVOT;AUSTRALIA;29;4;10;1;3;6;0
Seimone Augustus;20/03/2002;PIVOT;AUSTRALIA;33;6;14;2;5;12;3
Seimone Augustus;23/03/2002;PIVOT;AUSTRALIA;29;2;10;1;2;6;0
Seimone Augustus;27/03/2002;PIVOT;AUSTRALIA;26;2;10;0;2;12;0
Nneka Ogwumike;31/05/2001;ALA;CANADA;9;0;3;0;0;4;0
Nneka Ogwumike;09/06/2001;ALA;CANADA;22;2;7;1;1;10;0
Nneka Ogwumike;24/08/2001;ALA;CANADA;39;2;18;1;2;14;0
Nneka Ogwumike;26/08/2001;ALA;CANADA;34;8;14;0;5;14;0
Nneka Ogwumike;29/08/2001;ALA;CANADA;16;6;11;0;6;12;0
Nneka Ogwumike;31/08/2001;ALA;CANADA;21;2;8;0;2;8;0
Nneka Ogwumike;05/09/2001;ALA;CANADA;25;8;11;0;5;12;0
Nneka Ogwumike;06/09/2001;ALA;CANADA;16;4;5;0;3;4;0
Nneka Ogwumike;09/09/2001;ALA;CANADA;25;8;10;1;7;6;0
Nneka Ogwumike;11/09/2001;ALA;CANADA;16;0;3;0;0;2;0
Nneka Ogwumike;14/09/2001;ALA;CANADA;33;6;15;0;4;20;0
Nneka Ogwumike;16/09/2001;ALA;CANADA;29;6;13;0;6;14;0
Nneka Ogwumike;20/09/2001;ALA;CANADA;37;2;14;0;2;20;0
Nneka Ogwumike;02/12/2001;ALA;CANADA;35;2;17;2;2;22;6
Nneka Ogwumike;04/12/2001;ALA;CANADA;29;1;16;0;1;20;0
Nneka Ogwumike;07/12/2001;ALA;CANADA;35;2;15;0;2;12;0
Nneka Ogwumike;09/12/2001;ALA;CANADA;27;2;6;0;2;8;0
Nneka Ogwumike;12/12/2001;ALA;CANADA;29;4;12;0;3;12;0
Nneka Ogwumike;14/12/2001;ALA;CANADA;29;8;13;0;8;16;0
Nneka Ogwumike;16/12/2001;ALA;CANADA;11;0;3;0;0;2;0
Nneka Ogwumike;18/12/2001;ALA;CANADA;22;4;10;0;3;8;0
Nneka Ogwumike;24/12/2001;ALA;CANADA;37;9;18;0;9;14;0
Nneka Ogwumike;25/12/2001;ALA;CANADA;32;3;18;0;3;20;0
Nneka Ogwumike;27/12/2001;ALA;CANADA;26;6;14;1;5;16;3
Nneka Ogwumike;29/12/2001;ALA;CANADA;37;5;21;0;5;16;0
Nneka Ogwumike;30/12/2001;ALA;CANADA;32;0;17;0;0;18;0
Nneka Ogwumike;14/03/2002;ALA;CANADA;36;10;9;0;9;8;0
Nneka Ogwumike;16/03/2002;ALA;CANADA;38;11;18;2;11;24;0
Nneka Ogwumike;19/03/2002;ALA;CANADA;37;2;12;0;2;12;0
Nneka Ogwumike;21/03/2002;ALA;CANADA;29;0;16;1;0;18;0
Nneka Ogwumike;23/03/2002;ALA;CANADA;21;0;6;1;0;6;0
Nneka Ogwumike;26/03/2002;ALA;CANADA;29;2;10;0;1;10;0
Nneka Ogwumike;27/03/2002;ALA;CANADA;15;1;9;0;1;6;0
Odyssey Sims;01/06/2001;ALA;NUEVA ZELANDA;22;6;11;1;4;2;0
Odyssey Sims;07/06/2001;ALA;NUEVA ZELANDA;31;1;8;3;1;10;6
Odyssey Sims;12/06/2001;ALA;NUEVA ZELANDA;35;2;14;5;1;12;9
Odyssey Sims;14/06/2001;ALA;NUEVA ZELANDA;10;0;0;0;0;0;0
Odyssey Sims;24/08/2001;ALA;NUEVA ZELANDA;27;0;7;4;0;6;3
Odyssey Sims;29/08/2001;ALA;NUEVA ZELANDA;35;4;21;7;4;16;3
Odyssey Sims;02/09/2001;ALA;NUEVA ZELANDA;35;6;11;3;4;6;0
Odyssey Sims;05/09/2001;ALA;NUEVA ZELANDA;37;3;19;5;3;6;0
Odyssey Sims;07/09/2001;ALA;NUEVA ZELANDA;36;6;16;7;5;8;6
Odyssey Sims;11/09/2001;ALA;NUEVA ZELANDA;30;3;13;0;3;10;0
Odyssey Sims;12/09/2001;ALA;NUEVA ZELANDA;34;4;13;2;3;6;0
Odyssey Sims;14/09/2001;ALA;NUEVA ZELANDA;41;3;15;2;2;14;6
Odyssey Sims;17/09/2001;ALA;NUEVA ZELANDA;42;2;16;4;2;16;6
Odyssey Sims;20/09/2001;ALA;NUEVA ZELANDA;40;8;15;5;7;10;0
Odyssey Sims;21/09/2001;ALA;NUEVA ZELANDA;34;6;13;4;6;8;6
Odyssey Sims;02/12/2001;ALA;NUEVA ZELANDA;34;1;14;4;0;10;3
Odyssey Sims;04/12/2001;ALA;NUEVA ZELANDA;34;6;17;4;6;22;6
Odyssey Sims;06/12/2001;ALA;NUEVA ZELANDA;36;6;13;3;6;8;0
Odyssey Sims;09/12/2001;ALA;NUEVA ZELANDA;33;6;8;3;4;4;0
Odyssey Sims;11/12/2001;ALA;NUEVA ZELANDA;37;4;17;5;4;12;3
Odyssey Sims;13/12/2001;ALA;NUEVA ZELANDA;27;0;10;2;0;6;3
Odyssey Sims;17/12/2001;ALA;NUEVA ZELANDA;37;5;14;3;5;10;3
Odyssey Sims;18/12/2001;ALA;NUEVA ZELANDA;37;6;11;3;6;8;3
Odyssey Sims;23/12/2001;ALA;NUEVA ZELANDA;40;8;20;3;7;30;6
Odyssey Sims;26/12/2001;ALA;NUEVA ZELANDA;36;2;17;2;1;12;3
Odyssey Sims;28/12/2001;ALA;NUEVA ZELANDA;37;10;13;4;8;14;6
Odyssey Sims;30/12/2001;ALA;NUEVA ZELANDA;38;4;12;3;3;16;6
Odyssey Sims;01/01/2002;ALA;NUEVA ZELANDA;37;4;21;6;4;16;6
Odyssey Sims;13/03/2002;ALA;NUEVA ZELANDA;36;6;21;7;3;18;12
Odyssey Sims;16/03/2002;ALA;NUEVA ZELANDA;37;7;19;6;6;22;6
Odyssey Sims;19/03/2002;ALA;NUEVA ZELANDA;38;1;16;6;1;18;9
Odyssey Sims;21/03/2002;ALA;NUEVA ZELANDA;37;2;12;5;1;8;3
Odyssey Sims;26/03/2002;ALA;NUEVA ZELANDA;35;7;21;3;6;16;3
Odyssey Sims;27/03/2002;ALA;NUEVA ZELANDA;35;4;27;12;4;22;15
Brittney Griner;01/06/2001;BASE;MALTAIA;24;3;9;0;3;16;0
Brittney Griner;02/06/2001;BASE;MALTAIA;28;2;12;0;1;12;0
Brittney Griner;07/06/2001;BASE;MALTAIA;28;1;7;0;0;12;0
Brittney Griner;14/06/2001;BASE;MALTAIA;24;12;8;0;10;4;0
Brittney Griner;26/08/2001;BASE;MALTAIA;33;4;11;0;3;16;0
Brittney Griner;29/08/2001;BASE;MALTAIA;28;4;8;0;3;6;0
Brittney Griner;30/08/2001;BASE;MALTAIA;41;4;8;0;4;12;0
Brittney Griner;02/09/2001;BASE;MALTAIA;33;2;15;0;2;18;0
Brittney Griner;04/09/2001;BASE;MALTAIA;31;2;17;0;2;16;0
Brittney Griner;07/09/2001;BASE;MALTAIA;29;4;12;0;2;12;0
Brittney Griner;10/09/2001;BASE;MALTAIA;34;5;15;0;5;22;0
Brittney Griner;12/09/2001;BASE;MALTAIA;32;4;15;0;4;24;0
Brittney Griner;19/09/2001;BASE;MALTAIA;30;2;6;0;2;2;0
Brittney Griner;21/09/2001;BASE;MALTAIA;35;8;13;0;7;14;0
Brittney Griner;03/12/2001;BASE;MALTAIA;29;2;7;0;0;4;0
Brittney Griner;07/12/2001;BASE;MALTAIA;30;1;10;0;1;14;0
Brittney Griner;10/12/2001;BASE;MALTAIA;28;3;10;0;3;10;0
Brittney Griner;12/12/2001;BASE;MALTAIA;33;5;10;0;3;8;0
Brittney Griner;14/12/2001;BASE;MALTAIA;23;4;7;0;4;6;0
Brittney Griner;16/12/2001;BASE;MALTAIA;34;6;13;0;4;12;0
Brittney Griner;18/12/2001;BASE;MALTAIA;30;2;14;0;1;20;0
Brittney Griner;23/12/2001;BASE;MALTAIA;32;1;12;0;1;16;0
Brittney Griner;25/12/2001;BASE;MALTAIA;30;4;9;0;2;16;0
Brittney Griner;27/12/2001;BASE;MALTAIA;32;1;13;0;0;18;0
Brittney Griner;30/12/2001;BASE;MALTAIA;27;4;11;0;4;10;0
Brittney Griner;01/01/2002;BASE;MALTAIA;37;5;9;0;4;14;0
Brittney Griner;13/03/2002;BASE;MALTAIA;34;4;15;0;3;14;0
Brittney Griner;16/03/2002;BASE;MALTAIA;34;3;11;0;2;12;0
Brittney Griner;18/03/2002;BASE;MALTAIA;37;0;14;0;0;12;0
Brittney Griner;20/03/2002;BASE;MALTAIA;37;5;11;0;5;14;0
Brittney Griner;23/03/2002;BASE;MALTAIA;34;0;12;0;0;14;0
Brittney Griner;24/03/2002;BASE;MALTAIA;22;3;7;0;3;6;0
Brittney Griner;27/03/2002;BASE;MALTAIA;23;3;13;0;3;16;0
Brittney Griner;28/03/2002;BASE;MALTAIA;29;3;15;0;2;16;0
PUERTO RICOney Ogwumike;31/05/2001;PIVOT;GRAN BRETAÑA;32;4;12;0;3;10;0
PUERTO RICOney Ogwumike;02/06/2001;PIVOT;GRAN BRETAÑA;40;6;18;0;3;22;0
PUERTO RICOney Ogwumike;05/06/2001;PIVOT;GRAN BRETAÑA;31;2;17;0;2;16;0
PUERTO RICOney Ogwumike;07/06/2001;PIVOT;GRAN BRETAÑA;28;6;12;0;4;14;0
PUERTO RICOney Ogwumike;13/06/2001;PIVOT;GRAN BRETAÑA;31;6;17;0;2;16;0
PUERTO RICOney Ogwumike;14/06/2001;PIVOT;GRAN BRETAÑA;31;6;10;0;5;6;0
